"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"","","","","","Housing","","","","","","","","",""
"","","","","","Long-Term Group Homes","","","","","","","","",""
"","","","","","Long Term Group Homes","","","","","","","","",""
"","","","","","Residential Care for Individuals with Disabilities","","","","","","","","",""
"","","","","","Residential Care","","","","","","","","",""
"5bb3ae30da3c38c71367bd77","P74","Hospices","Organizations that provide palliative and supportive services including medical care, pain and symptom management, home nurse visitation, case management, counseling, and bereavement services for terminally ill people who are in the final stages of their illnesses and for members of their families.","","Facility-Based Hospice Care","","","","","","","","","5bb3ae30da3c38c71367bd74"
"","","","","","Hospitals for the Dying","","","","","","","","",""
"","","","","","In-Home Hospice Care","","","","","","","","",""
"","","","","","Institutional Hospice Care","","","","","","","","",""
"","","","","","Palliative Care","","","","","","","","",""
"","","","","","Supportive Care for the Dying","","","","","","","","",""
"","","","","","Terminal Illness Care","","","","","","","","",""
"5bb3ae30da3c38c71367bd78","P75","Supportive Housing for Older Adults","Residential facilities for older adults who are unable to function in an independent living environment because they need assistance with toileting, bathing, dressing, medication, meals and housekeeping and other activities of daily living, but do not require nursing care on a regular basis.","","Assisted Living","","","","","","","","","5bb3ae30da3c38c71367bd74"
"","","","","","Boarding Care Facilities","","","","","","","","",""
"","","","","","CCRCs","","","","","","","","",""
"","","","","","Continuing Care Retirement Communities","","","","","","","","",""
"","","","","","Group Homes for Seniors","","","","","","","","",""
"","","","","","Homes for Aging","","","","","","","","",""
"","","","","","Housing for the Elderly","","","","","","","","",""
"","","","","","Life Care Communities","","","","","","","","",""
"","","","","","Lifecare Communities","","","","","","","","",""
"","","","","","Personal Care Homes","","","","","","","","",""
"","","","","","Residential Care Facilities for the Elderly","","","","","","","","",""
"","","","","","Senior Board & Care","","","","","","","","",""
"","","","","","Senior Foster Care","","","","","","","","",""
"","","","","","Senior Residential Care Homes","","","","","","","","",""
"","","","","","Senior Residential Facilities","","","","","","","","",""
"5bb3ae30da3c38c71367bd79","P80","Centers to Support the Independence of Specific Populations","Organizations that provide multipurpose centers or services that meet the needs and interests of a particular target population. ","","Animal Aides","5bb3ae30da3c38c71367bd7a","5bb3ae30da3c38c71367bd7b","5bb3ae30da3c38c71367bd7c","5bb3ae30da3c38c71367bd7d","5bb3ae30da3c38c71367bd7e","5bb3ae30da3c38c71367bd7f","5bb3ae30da3c38c71367bd80","","5bc787dada3c38f0620b024d"
"","","","","","Assistive Technologies","","","","","","","","",""
"","","","","","Canine Assistants","","","","","","","","",""
"","","","","","Care Management","","","","","","","","",""
"","","","","","Case Management","","","","","","","","",""
"","","","","","Companion Animals","","","","","","","","",""
"","","","","","Guide Dog Training","","","","","","","","",""
"","","","","","Guide Dogs","","","","","","","","",""
"","","","","","Service Animals","","","","","","","","",""
"","","","","","Service Dogs","","","","","","","","",""
"","","","","","Womens Centers","","","","","","","","",""
"","","","","","Womens Services","","","","","","","","",""
"5bb3ae30da3c38c71367bd7a","P81","Senior Centers","Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of the senior population. Also included are organizations that administer funding for senior services under Title III of the Older Americans Act.","","Agency on Aging","","","","","","","","","5bb3ae30da3c38c71367bd79"
"","","","","","Comprehensive Senior Services","","","","","","","","",""
"","","","","","Independence of the Elderly","","","","","","","","",""
"","","","","","Senior Citizen Centers","","","","","","","","",""
"5bb3ae30da3c38c71367bd7b","P82","Developmentally Disabled Centers","Organizations such as retarded citizens associations that provide or coordinate a wide variety of programs and services for people with developmental disabilities.","","Activities of Daily Living","","","","","","","","","5bb3ae30da3c38c71367bd79"
"","","","","","Daily Living Instruction","","","","","","","","",""
"","","","","","Day Programs for the Developmentally Disabled","","","","","","","","",""
"","","","","","Developmentally Disabled Activity Centers","","","","","","","","",""
"","","","","","Developmentally Disabled Behavior Management ","","","","","","","","",""
"","","","","","Developmentally Disabled Centers","","","","","","","","",""
"","","","","","Developmentally Disabled Services","","","","","","","","",""
"","","","","","Developmentally Disabled Social/Recreation ","","","","","","","","",""
"","","","","","Drop in Centers for the Developmentally Disabled","","","","","","","","",""
"","","","","","Independent Living Skills Instruction: Mentally Retarded Centers","","","","","","","","",""
"","","","","","Mentally Retarded Services","","","","","","","","",""
"","","","","","Retarded Citizens Associations","","","","","","","","",""
"","","","","","Retarded Citizens Centers","","","","","","","","",""
"","","","","","Retarded Citizens Services","","","","","","","","",""
"","","","","","Self Care","","","","","","","","",""
"5bb3ae30da3c38c71367bd7c","P84","Ethnic &  Immigrant Centers","Organizations that provide or coordinate a wide variety of programs and services that are structured to meet the social, educational, economic, recreational and other needs of specific ethnic and/or immigrant groups in ways that are culturally appropriate.","","Citizenship Assistance Centers","","","","","","","","","5bb3ae30da3c38c71367bd79"
"","","","","","Cultural Orientation","","","","","","","","",""
"","","","","","Cultural Transition Facilitation","","","","","","","","",""
"","","","","","Immigrant Centers","","","","","","","","",""
"","","","","","Immigrant Services","","","","","","","","",""
"","","","","","Immigrant Support","","","","","","","","",""
"","","","","","Interpreters","","","","","","","","",""
"","","","","","Language Interpretations","","","","","","","","",""
"","","","","","Language Translations","","","","","","","","",""
"","","","","","Refugee Resettlement","","","","","","","","",""
"5bb3ae30da3c38c71367bd7d","P85","Homeless Centers","Organizations that provide supportive services for individuals and families who are homeless or which work with people who are at risk for homelessness in an effort to prevent them from losing their permanent residence.","","Homeless Day Centers","","","","","","","","","5bb3ae30da3c38c71367bd79"
"","","","","","Homeless Drop-In Centers","","","","","","","","",""
"","","","","","Homeless Persons Centers","","","","","","","","",""
"","","","","","Homeless Persons Services","","","","","","","","",""
"","","","","","Missions","","","","","","","","",""
"","","","","","Shower Facilities/Public Restrooms","","","","","","","","",""
"","","","","","Telephone Facilities","","","","","","","","",""
"","","","","","Temporary Mailing Address","","","","","","","","",""
"5bb3ae30da3c38c71367bd7e","P86","Blind & Visually Impaired Centers","Organizations that provide or coordinate a wide variety of programs and services for people who are blind or have visual impairments.","","Audio Books ","","","","","","","","","5bb3ae30da3c38c71367bd79"
"","","","","","Books on Tape ","","","","","","","","",""
"","","","","","Braille Transcription","","","","","","","","",""
"","","","","","Guide Dogs for the Blind","","","","","","","","",""
"","","","","","Recorded Books ","","","","","","","","",""
"","","","","","Recording for the Blind","","","","","","","","",""
"","","","","","Seeing Eye Dog ","","","","","","","","",""
"","","","","","Talking Books","","","","","","","","",""
"5bb3ae30da3c38c71367bd7f","P87","Deaf & Hearing Impaired Centers","Organizations that provide or coordinate a wide variety of programs and services for people who are deaf or have hearing impairments.","","American Sign Language Interpretation","","","","","","","","","5bb3ae30da3c38c71367bd79"
"","","","","","AMESLAM Interpretation","","","","","","","","",""
"","","","","","Deaf Relay Services","","","","","","","","",""
"","","","","","Sign Language Interpretation","","","","","","","","",""
"","","","","","Telecommunication Relay Services","","","","","","","","",""
"","","","","","TTD Linkage","","","","","","","","",""
"5bb3ae30da3c38c71367bd80","P88","LGBT Centers","Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of people who are lesbian, gay, bisexual, or transgenedered.","","","","","","","","","","","5bb3ae30da3c38c71367bd79"
"5bb3ae31da3c38c71367bd81","P99","Human Services Not Elsewhere Classified","Organizations that clearly provide human services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.","","","","","","","","","","","5bc787dada3c38f0620b024d"
"5bb3ae31da3c38c71367bd82","R20","Civil Rights","Organizations that work for the passage and enforcement of laws or other social measures that will more effectively protect the rights of specific groups. ","","Discrimination of Specific Groups","5bb3ae31da3c38c71367bd83","5bb3ae31da3c38c71367bd84","5bb3ae31da3c38c71367bd85","5bb3ae31da3c38c71367bd86","5bb3ae31da3c38c71367bd87","","","","5bc787dada3c38f0620b024e"
"","","","","","Equal Rights","","","","","","","","",""
"","","","","","Immigrant Rights","","","","","","","","",""
"","","","","","Legal Rights","","","","","","","","",""
"","","","","","Refugee Rights","","","","","","","","",""
"5bb3ae31da3c38c71367bd83","R22","Minority Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of one or more specific ethnic groups or individuals who have a common national origin. ","","African American Rights","","","","","","","","","5bb3ae31da3c38c71367bd82"
"","","","","","Asian American Rights","","","","","","","","",""
"","","","","","Congress of Racial Equality","","","","","","","","",""
"","","","","","CORE","","","","","","","","",""
"","","","","","Ethnic Groups Rights","","","","","","","","",""
"","","","","","Hispanic Rights","","","","","","","","",""
"","","","","","La Raza","","","","","","","","",""
"","","","","","Latino Rights","","","","","","","","",""
"","","","","","NAACP","","","","","","","","",""
"","","","","","Native American Rights","","","","","","","","",""
"","","","","","Racial Equality","","","","","","","","",""
"","","","","","SCLC","","","","","","","","",""
"","","","","","Southern Christian Leadership Conference","","","","","","","","",""
"5bb3ae31da3c38c71367bd84","R23","Disabled Persons Rights","Organizations that support the passage and enforcement of laws or other social measures that protect the rights of people who have disabilities and maximize their ability to enjoy the same opportunities, resources and privileges as the mainstream population.","","Disability Rights","","","","","","","","","5bb3ae31da3c38c71367bd82"
"","","","","","Handicapped Persons Rights","","","","","","","","",""
"","","","","","Handicapped Rights","","","","","","","","",""
"5bb3ae31da3c38c71367bd85","R25","Seniors Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights of older adults.","Age Discrimination","","","","","","","","","","5bb3ae31da3c38c71367bd82"
"5bb3ae31da3c38c71367bd86","R26","Lesbian & Gay Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, bisexual, or transgender.","","Gay Rights","","","","","","","","","5bb3ae31da3c38c71367bd82"
"","","","","","Homosexual Rights","","","","","","","","",""
"","","","","","Lesbian Rights","","","","","","","","",""
"5bb3ae31da3c38c71367bd87","R28","Children's Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of children and youth.","","CASA","","","","","","","","","5bb3ae31da3c38c71367bd82"
"","","","","","Child Advocacy","","","","","","","","",""
"","","","","","Court Appointed Special Advocates","","","","","","","","",""
"5bb3ae31da3c38c71367bd88","R30","Intergroup & Race Relations","Organizations that work for increased harmony and understanding among diverse groups in the community and to reduce or eliminate tensions and violence based on age, gender, race, color, sexual preference, creed, national origin, income level or stereotypical identification.","","Diversity Training","","","","","","","","","5bc787dada3c38f0620b024e"
"","","","","","Intergroup Relations","","","","","","","","",""
"","","","","","Multicultural Understanding","","","","","","","","",""
"","","","","","Race Relations","","","","","","","","",""
"5bb3ae31da3c38c71367bd89","R40","Voter Education & Registration","Organizations that encourage citizens to participate in the political process, in a nonpartisan manner, by providing opportunities for political involvement, access to public officials, information that is necessary to make informed decisions at the ballot box or assistance in registering to vote.","","Election Regulation","","","","","","","","","5bc787dada3c38f0620b024e"
"","","","","","League of Women Voters","","","","","","","","",""
"","","","","","Voter Education","","","","","","","","",""
"","","","","","Voter Participation","","","","","","","","",""
"","","","","","Voter Registration","","","","","","","","",""
"","","","","","Voter Turnout","","","","","","","","",""
"5bb3ae31da3c38c71367bd8a","R60","Civil Liberties","Organizations that protect the rights of people guaranteed by the Constitution and promote the passage of laws or other social measures that extend individual rights or more effectively protect them. ","","Academic Freedom","5bb3ae31da3c38c71367bd8b","5bb3ae31da3c38c71367bd8c","5bb3ae31da3c38c71367bd8d","5bb3ae31da3c38c71367bd8e","","","","","5bc787dada3c38f0620b024e"
"","","","","","Bill of Rights","","","","","","","","",""
"","","","","","Civil Liberties","","","","","","","","",""
"","","","","","Constitutional Rights","","","","","","","","",""
"","","","","","Criminal Rights","","","","","","","","",""
"","","","","","Cyber-Liberties","","","","","","","","",""
"","","","","","Death Penalty Advocacy","","","","","","","","",""
"","","","","","Death Penalty Issues","","","","","","","","",""
"","","","","","Due Process","","","","","","","","",""
"","","","","","Freedom of Association","","","","","","","","",""
"","","","","","Freedom of Information","","","","","","","","",""
"","","","","","Freedom of Religion","","","","","","","","",""
"","","","","","Gun Control Advocacy","","","","","","","","",""
"","","","","","Legal Rights","","","","","","","","",""
"","","","","","Library Censorship","","","","","","","","",""
"","","","","","Political Rights","","","","","","","","",""
"","","","","","Right of Assembly","","","","","","","","",""
"","","","","","Right to Bear Arms","","","","","","","","",""
"","","","","","Right to Privacy","","","","","","","","",""
"5bb3ae31da3c38c71367bd8b","R61","Reproductive Rights","Organizations that support the passage and enforcement of laws and other social measures which preserve a womans right to terminate her pregnancy.","","Abortion Rights","","","","","","","","","5bb3ae31da3c38c71367bd8a"
"","","","","","Pro-Choice Advocacy","","","","","","","","",""
"","","","","","Right to Choose","","","","","","","","",""
"5bb3ae31da3c38c71367bd8c","R62","Right to Life","Organizations that support the passage of legislation which assigns legal rights to the unborn and seeks to criminalize the termination of unwanted pregnancies.","","Anti-Abortion","","","","","","","","","5bb3ae31da3c38c71367bd8a"
"","","","","","Fetal Rights","","","","","","","","",""
"","","","","","Pro-Life Advocacy","","","","","","","","",""
"5bb3ae31da3c38c71367bd8d","R63","Censorship, Freedom of Speech & Press","Organizations that support the right of the press to freedom of expression without censorship or other restrictions by government and/or which support the right of the media to maintain confidential sources.","","Anti-Censorship Advocacy","","","","","","","","","5bb3ae31da3c38c71367bd8a"
"","","","","","Censorship","","","","","","","","",""
"","","","","","Cyber-Liberties","","","","","","","","",""
"","","","","","Freedom of Speech","","","","","","","","",""
"","","","","","Free Speech","","","","","","","","",""
"","","","","","Freedom of the Press","","","","","","","","",""
"","","","","","Library Censorship","","","","","","","","",""
"5bb3ae31da3c38c71367bd8e","R67","Right to Die & Euthanasia","Organizations that support the right of people who may be terminally ill to end their own lives in a planned manner either by active means or by the removal of life-support systems.","","Assisted Suicide","","","","","","","","","5bb3ae31da3c38c71367bd8a"
"","","","","","Death with Dignity","","","","","","","","",""
"","","","","","Do Not Resuscitate Orders","","","","","","","","",""
"","","","","","Doctor Assisted Death","","","","","","","","",""
"","","","","","Doctor Assisted Suicide","","","","","","","","",""
"","","","","","Euthanasia","","","","","","","","",""
"","","","","","Hemlock Society","","","","","","","","",""
"","","","","","Living Wills","","","","","","","","",""
"","","","","","Mercy Killings","","","","","","","","",""
"","","","","","Physician Assisted Death","","","","","","","","",""
"","","","","","Physician Assisted Suicide","","","","","","","","",""
"","","","","","Rationale Suicide","","","","","","","","",""
"","","","","","Right to Die","","","","","","","","",""
"5bb3ae31da3c38c71367bd8f","R99","Civil Rights, Social Action & Advocacy Not Elsewhere Classified","Organizations that clearly provide civil rights, social action or advocacy services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.","","","","","","","","","","","5bc787dada3c38f0620b024e"
"5bb3ae31da3c38c71367bd90","W30","Military & Veterans Organizations","Membership organizations that are engaged in promoting the interests of the veterans or active or retired military personnel who are their members.","","Air Force","","","","","","","","","5bc787dbda3c38f0620b024f"
"","","","","","American Legion","","","","","","","","",""
"","","","","","Armed Forces of the United States","","","","","","","","",""
"","","","","","Army","","","","","","","","",""
"","","","","","Coast Guard","","","","","","","","",""
"","","","","","Marine Corps","","","","","","","","",""
"","","","","","Military Chaplains","","","","","","","","",""
"","","","","","National Guard","","","","","","","","",""
"","","","","","Navy","","","","","","","","",""
"","","","","","Veterans Affairs ","","","","","","","","",""
"","","","","","Veterans of Foreign Wars","","","","","","","","",""
"","","","","","VFW","","","","","","","","",""
"","","","","","War Veterans","","","","","","","","",""
"5bb3ae31da3c38c71367bd91","W40","Public Transportation Systems","Organizations that provide fixed-route mass transit services that utilize buses, trains, ferry boats or other vehicles to transport people within the limits of a city, a metropolitan area, a county or a multi-county region, or to move people from outlying areas into a city or metropolitan area.","","Air Traffic Control","","","","","","","","","5bc787dbda3c38f0620b024f"
"","","","","","Air Transportation","","","","","","","","",""
"","","","","","Airline Terminals","","","","","","","","",""
"","","","","","Airports","","","","","","","","",""
"","","","","","Bus Shelters","","","","","","","","",""
"","","","","","Buses, Cable Cars","","","","","","","","",""
"","","","","","Commuter Rail, Ferry Boats","","","","","","","","",""
"","","","","","Light-Rail Systems","","","","","","","","",""
"","","","","","Mass Transit","","","","","","","","",""
"","","","","","Pedestrian Shelters","","","","","","","","",""
"","","","","","Public Transportation","","","","","","","","",""
"","","","","","Public Transportation Systems","","","","","","","","",""
"","","","","","Rail Transportation","","","","","","","","",""
"","","","","","Railroads","","","","","","","","",""
"","","","","","Railways","","","","","","","","",""
"","","","","","Rapid Transit Systems","","","","","","","","",""
"","","","","","Roadways","","","","","","","","",""
"","","","","","Streetcars","","","","","","","","",""
"","","","","","Subways","","","","","","","","",""
"","","","","","Trains","","","","","","","","",""
"","","","","","Trolleys","","","","","","","","",""
"","","","","","Urban Mass Transit","","","","","","","","",""
"5bb3ae31da3c38c71367bd92","W50","Telecommunications","Organizations that furnish point-to-point communications services including telephone and telegraph services.","","Communication Services","","","","","","","","","5bc787dbda3c38f0620b024f"
"","","","","","Electronic Messaging","","","","","","","","",""
"","","","","","Freenet Providers","","","","","","","","",""
"","","","","","Internet Service Providers","","","","","","","","",""
"","","","","","Rural Utilities","","","","","","","","",""
"","","","","","Telecommunications ","","","","","","","","",""
"","","","","","Telegraph","","","","","","","","",""
"","","","","","Telephone Systems","","","","","","","","",""
"","","","","","Wireless Communications Systems","","","","","","","","",""
"5bb3ae31da3c38c71367bd93","W60","Financial Institutions","Organizations that provide an alternative to the traditional banking system for people who want to maintain checking or savings accounts, purchase money orders, cash third-party checks or engage in other financial transactions.","","Banks","5bb3ae31da3c38c71367bd94","","","","","","","","5bc787dbda3c38f0620b024f"
"","","","","","Check Cashing","","","","","","","","",""
"","","","","","Investment Management ","","","","","","","","",""
"","","","","","Investments & Securities ","","","","","","","","",""
"","","","","","Savings & Loan Associations","","","","","","","","",""
"","","","","","Thrift Institutions","","","","","","","","",""
"","","","","","Trust Companies","","","","","","","","",""
"5bb3ae31da3c38c71367bd94","W61","Credit Unions","Cooperative 501(c)(14) associations that use money deposited by a group of people (e.g., fellow employees) and lend it out again to people in the same group at favorable interest rates.","","","","","","","","","","","5bb3ae31da3c38c71367bd93"
"5bb3ae31da3c38c71367bd95","W80","Public Utilities","Organizations that provide gas, electricity, water and sanitary services including the hook-up of services and the installation, maintenance and repair of necessary equipment.","","Electric Generating Plants","","","","","","","","","5bc787dbda3c38f0620b024f"
"","","","","","Electrification","","","","","","","","",""
"","","","","","Energy Generating Resources","","","","","","","","",""
"","","","","","Energy Suppliers","","","","","","","","",""
"","","","","","Gas Services","","","","","","","","",""
"","","","","","Energy Suppliers","","","","","","","","",""
"","","","","","Light Companies","","","","","","","","",""
"","","","","","Natural Gas Services","","","","","","","","",""
"","","","","","Power Generating Plants","","","","","","","","",""
"","","","","","Propane Services","","","","","","","","",""
"","","","","","Public Utilities","","","","","","","","",""
"","","","","","Rural Water Companies","","","","","","","","",""
"","","","","","Sanitary Services","","","","","","","","",""
"","","","","","Utility Systems","","","","","","","","",""
"","","","","","Water & Sewer Services","","","","","","","","",""
"","","","","","Water Rights","","","","","","","","",""
"","","","","","Water Systems","","","","","","","","",""
"","","","","","Waterworks","","","","","","","","",""
"5bb3ae32da3c38c71367bd96","W90","Consumer Protection","Organizations that provide for the education and protection of individuals who purchase, use, maintain and dispose of products and services.","","Consumer Complaints","","","","","","","","","5bc787dbda3c38f0620b024f"
"","","","","","Consumer Education","","","","","","","","",""
"","","","","","Consumer Fraud","","","","","","","","",""
"","","","","","Consumer Product Safety","","","","","","","","",""
"","","","","","Consumer Protection","","","","","","","","",""
"","","","","","Consumer Safety","","","","","","","","",""
"5bb3ae32da3c38c71367bd97","X20","Christianity","Religious organizations that provide opportunities for people to satisfy their inner needs and enhance their spiritual growth through organized worship or through other devotional activities under the auspices of one of the group of religious faiths that is based on the teachings of Jesus Christ. ","","Armenian Apostolic Church","5bb3ae32da3c38c71367bd98","5bb3ae32da3c38c71367bd99","","","","","","","5bc787dbda3c38f0620b0250"
"","","","","","Christ Catholic Church","","","","","","","","",""
"","","","","","Church of Cyprus","","","","","","","","",""
"","","","","","Church of Greece","","","","","","","","",""
"","","","","","Church of Jesus Christ of Latter Day Saints","","","","","","","","",""
"","","","","","Church of the Latter Day Saints","","","","","","","","",""
"","","","","","Coptic Christian","","","","","","","","",""
"","","","","","Eastern Catholicism","","","","","","","","",""
"","","","","","Eastern Orthodox","","","","","","","","",""
"","","","","","Greek Orthodox","","","","","","","","",""
"","","","","","Holy Apostolic Catholic Assyrian Church of the East","","","","","","","","",""
"","","","","","Mormon Church","","","","","","","","",""
"","","","","","Oriental Orthodox Church","","","","","","","","",""
"","","","","","Orthodox Church","","","","","","","","",""
"","","","","","Prayer Breakfasts","","","","","","","","",""
"","","","","","Russian Orthodox","","","","","","","","",""
"","","","","","Syrian Orthodox Church of Antioch","","","","","","","","",""
"5bb3ae32da3c38c71367bd98","X21","Protestant","Religious organizations whose form of Christian faith and practice originated with the principles of the Reformation.  ","","Advent Christian Church","","","","","","","","","5bb3ae32da3c38c71367bd97"
"","","","","","African Methodist Episcopal Church","","","","","","","","",""
"","","","","","African Methodist Episcopal Zion Church","","","","","","","","",""
"","","","","","AME Church","","","","","","","","",""
"","","","","","Amish","","","","","","","","",""
"","","","","","Anabaptist","","","","","","","","",""
"","","","","","Anglican Church","","","","","","","","",""
"","","","","","Apostolic Arminian Church","","","","","","","","",""
"","","","","","Assemblies of Christ","","","","","","","","",""
"","","","","","Apostolic Assembly of the Faith in Christ Jesus","","","","","","","","",""
"","","","","","Apostolic Christian Church","","","","","","","","",""
"","","","","","Apostolic Faith Church","","","","","","","","",""
"","","","","","Apostolic Overcoming Holy Church of God (A.O.H.)","","","","","","","","",""
"","","","","","Assembly of God Church","","","","","","","","",""
"","","","","","Baptist Church","","","","","","","","",""
"","","","","","Berean Fundamental Church","","","","","","","","",""
"","","","","","Bible Church of Christ","","","","","","","","",""
"","","","","","Born Again Christians","","","","","","","","",""
"","","","","","Brethren Church","","","","","","","","",""
"","","","","","Brethren in Christ","","","","","","","","",""
"","","","","","Calvary Chapel","","","","","","","","",""
"","","","","","Christ Gospel Church","","","","","","","","",""
"","","","","","Christadelphian","","","","","","","","",""
"","","","","","Christian & Missionary Alliance","","","","","","","","",""
"","","","","","Christian Church","","","","","","","","",""
"","","","","","Christian Churches of God","","","","","","","","",""
"","","","","","Christian Reformed Church","","","","","","","","",""
"","","","","","Christian Science","","","","","","","","",""
"","","","","","Church of Christ","","","","","","","","",""
"","","","","","Church of Christ, Scientist","","","","","","","","",""
"","","","","","Church of God","","","","","","","","",""
"","","","","","Church of Our Lord Jesus Christ","","","","","","","","",""
"","","","","","Church of South India (CSI)","","","","","","","","",""
"","","","","","Church of the Brethren","","","","","","","","",""
"","","","","","Church of the Nazarene","","","","","","","","",""
"","","","","","Community of Christ","","","","","","","","",""
"","","","","","Congregational Church","","","","","","","","",""
"","","","","","Covenant Church","","","","","","","","",""
"","","","","","Disciples of Christ","","","","","","","","",""
"","","","","","Episcopal Church","","","","","","","","",""
"","","","","","Evangelical Bible Church","","","","","","","","",""
"","","","","","Evangelical Bible Churches","","","","","","","","",""
"","","","","","Evangelical Christian Church","","","","","","","","",""
"","","","","","Evangelical Formosan Church","","","","","","","","",""
"","","","","","Evangelical Free Church","","","","","","","","",""
"","","","","","Evangelicals","","","","","","","","",""
"","","","","","Evangelism","","","","","","","","",""
"","","","","","Foursquare Church","","","","","","","","",""
"","","","","","House of God Saints in Christ","","","","","","","","",""
"","","","","","International Church of the Foursquare Gospel","","","","","","","","",""
"","","","","","International Pentecostal Church of Christ","","","","","","","","",""
"","","","","","Jehovahs Witnesses","","","","","","","","",""
"","","","","","Lutheran Church","","","","","","","","",""
"","","","","","Mennonite Church","","","","","","","","",""
"","","","","","Methodist Church","","","","","","","","",""
"","","","","","Metropolitan Community Church","","","","","","","","",""
"","","","","","Missionary Church","","","","","","","","",""
"","","","","","Moravian Church","","","","","","","","",""
"","","","","","Netherlands Reformed Congregations","","","","","","","","",""
"","","","","","Pentecostal Church of God","","","","","","","","",""
"","","","","","Pentecostal Church","","","","","","","","",""
"","","","","","Pentecostal Holiness Church","","","","","","","","",""
"","","","","","Presbyterian Church","","","","","","","","",""
"","","","","","Protestant Reformed Church","","","","","","","","",""
"","","","","","Protestant","","","","","","","","",""
"","","","","","Quakers, Redeemed Christian Church of God","","","","","","","","",""
"","","","","","Reformed Church","","","","","","","","",""
"","","","","","Religious Society of Friends","","","","","","","","",""
"","","","","","Salvationists","","","","","","","","",""
"","","","","","Seventh-day Adventist Church","","","","","","","","",""
"","","","","","Shakers","","","","","","","","",""
"","","","","","Swedenborgian Church","","","","","","","","",""
"","","","","","United Church of Christ","","","","","","","","",""
"","","","","","United Holy Church","","","","","","","","",""
"","","","","","United Pentecostal Church","","","","","","","","",""
"","","","","","Unity","","","","","","","","",""
"","","","","","Victory Church","","","","","","","","",""
"","","","","","Vineyard Christian Fellowship","","","","","","","","",""
"","","","","","Vineyard Church","","","","","","","","",""
"","","","","","Wesleyan Church","","","","","","","","",""
"5bb3ae32da3c38c71367bd99","X22","Roman Catholic","Religious organizations characterized by their acknowledgement of the supreme authority of the bishop of Rome, the pope, in matters of faith.  ","","Catholic Church","","","","","","","","","5bb3ae32da3c38c71367bd97"
"","","","","","Roman Catholic Church","","","","","","","","",""
"5bb3ae32da3c38c71367bd9a","X30","Judaism","Organizations whose members are a worldwide group which constitutes a continuation through descent or conversion of the ancient Jewish people; who practice Judaism, a religion that is characterized by a belief in one God and in the mission of Jews to teach the oneness of God as revealed in the Hebrew scriptures. Organizations making reference to Lubavitch, Chabad, Yeshiva, and Torah should also be classified here, but not necessarily those mentioning Israel, Hebrew, and Shalom.","","Chabad","","","","","","","","","5bc787dbda3c38f0620b0250"
"","","","","","Eruv","","","","","","","","",""
"","","","","","Habonim-Dror","","","","","","","","",""
"","","","","","Hebrew School","","","","","","","","",""
"","","","","","Jewish Camps","","","","","","","","",""
"","","","","","Jewish Religion","","","","","","","","",""
"","","","","","Jewish Spiritual Retreats","","","","","","","","",""
"","","","","","Judaism","","","","","","","","",""
"","","","","","Labavitch","","","","","","","","",""
"","","","","","Mikvah","","","","","","","","",""
"","","","","","Noahide","","","","","","","","",""
"","","","","","Passover Seders","","","","","","","","",""
"","","","","","Pesach Seders","","","","","","","","",""
"","","","","","Sukout","","","","","","","","",""
"","","","","","Synagogues","","","","","","","","",""
"","","","","","Talmud","","","","","","","","",""
"","","","","","Torah","","","","","","","","",""
"5bb3ae32da3c38c71367bd9b","X40","Islam","Organizations whose members are followers of Islam, the religious faith and cultural system that is based on the belief in Allah as the sole deity, in Mohammed as the prophet of Allah and in the Koran as the revelation of Allah to Mohammed and the divinely authorized basis for the religious, social, civil, commercial, military and legal regulations of the Islamic world.","","Hajj","","","","","","","","","5bc787dbda3c38f0620b0250"
"","","","","","Islam","","","","","","","","",""
"","","","","","Islamic Spiritual Retreats","","","","","","","","",""
"","","","","","Mohammedanism","","","","","","","","",""
"","","","","","Moslems","","","","","","","","",""
"","","","","","Mosques","","","","","","","","",""
"","","","","","Muslims","","","","","","","","",""
"","","","","","Islamic Temples","","","","","","","","",""
"","","","","","Koran","","","","","","","","",""
"","","","","","Pilgrimages - Islam","","","","","","","","",""
"","","","","","Quran","","","","","","","","",""
"5bb3ae32da3c38c71367bd9c","X50","Buddhism","Organizations whose members are followers of the religion of eastern and central Asia that is based on the teachings of Gautama Buddha which stress that suffering is inherent in life and that one can achieve nirvana (release from suffering) through mental and moral self-purification. Includes Zen.","","Buddha","","","","","","","","","5bc787dbda3c38f0620b0250"
"","","","","","Buddhism","","","","","","","","",""
"","","","","","Buddhist Spiritual Retreats","","","","","","","","",""
"","","","","","Pilgrimages - Buddhism","","","","","","","","",""
"","","","","","Buddhist","","","","","","","","",""
"","","","","","Buddhist Temples","","","","","","","","",""
"","","","","","Zen","","","","","","","","",""
